H    0.37  255 255 255
He   0.32  217 255 255
Li   0.90  204 128 255
Be   0.50  194 255   0
B    0.32  255 181 181
C    0.77  144 144 144
N    0.75   48  80 248
O    1.26  255  13  13
F    1.18  144 224  80
Ne   0.38  179 227 245
Na   1.21  171  92 242
Mg   0.86  138 255   0
Al   0.60  191 166 166
Si   1.11  240 200 160
P    1.06  255 128   0
S    1.84  255 255  48
Cl   1.67   31 240  31
Ar   0.71  128 209 227
K    1.52  143  64 212
Ca   1.20   61 255   0
Sc   0.95  230 230 230
Ti   0.74  191 194 199
V    0.81  166 166 171
Cr   0.75  138 153 199
Mn   0.81  156 122 199
Fe   0.75  224 102  51
Co   0.78  240 144 160
Ni   0.70   80 208  80
Cu   0.70  200 128  51
Zn   0.88  125 128 176
Ga   0.69  194 143 143
Ge   1.22  102 143 143
As   1.19  189 128 227
Se   1.98  255 161   0
Br   1.95  166  41  41
Kr   0.88   92 184 209
Rb   1.70  112  46 176
Sr   1.35    0 255   0
Y    1.09  148 255 255
Zr   0.86  148 224 224
Nb   0.82  115 194 201
Mo   0.78   84 181 181
Tc   0.72   59 158 158
Ru   0.76   36 143 143
Rh   0.74   10 125 140
Pd   0.90    0 105 133
Ag   1.08  192 192 192
Cd   1.09  255 217 143
In   0.94  166 117 115
Sn   1.41  102 128 128
Sb   1.38  158  99 181
Te   2.21  212 122   0
I    2.06  148   0 148
Xe   1.08   66 158 176
Cs   1.85   87  23 143
Ba   1.52    0 201   0
La   1.40  112 212 255
Ce   1.30  255 255 199
Pr   1.20  217 255 199
Nd   1.18  199 255 199
Pm   1.17  163 255 199
Sm   1.15  143 255 199
Eu   1.25   97 255 199
Gd   1.13   69 255 199
Tb   1.12   48 255 199
Dy   1.10   31 255 199
Ho   1.10    0 255 156
Er   1.08    0 230 117
Tm   1.07    0 212  82
Yb   1.15    0 191  56
Lu   1.05    0 171  36
Hf   0.85   77 194 255
Ta   0.83   77 166 255
W    0.76   33 148 214
Re,  0.72   38 125 171
Os   0.70   38 102 150
Ir   0.76   23  84 135
Pt   0.82  208 208 224
Au   1.00  255 209  35
Hg   1.16  184 184 208
Tl   1.48  166  84  77
Pb   1.33   87  89  97
Bi   1.46  158  79 181
Po   1.08  171  92   0
At   0.76  117  79  69
Rn   1.20   66 130 150
