   1  P 1        : x,y,z                                                                                                 
   2  P -1       : -x,-y,-z                                                                                              
   3  P 2        : -x,y,-z                                                                                               
   4  P 21       : -x,y+1/2,-z                                                                                           
   5  C 2        : x+1/2,y+1/2,z; -x,y,-z                                                                                
   6  P m        : x,-y,z                                                                                                
   7  P c        : x,-y,z+1/2                                                                                            
   8  C m        : x+1/2,y+1/2,z; x,-y,z                                                                                 
   9  C c        : x+1/2,y+1/2,z; x,-y,z+1/2                                                                             
  10  P 2/m      : -x,y,-z; -x,-y,-z                                                                                     
  11  P 21/m     : -x,y+1/2,-z; -x,-y,-z                                                                                 
  12  C 2/m      : x+1/2,y+1/2,z; -x,y,-z; -x,-y,-z                                                                      
  13  P 2/c      : -x,y,-z+1/2; -x,-y,-z                                                                                 
  14  P 21/c     : -x,y+1/2,-z+1/2; -x,-y,-z                                                                             
  15  C 2/c      : x+1/2,y+1/2,z; -x,y,-z+1/2; -x,-y,-z                                                                  
  16  P 2 2 2    : -x,-y,z; -x,y,-z                                                                                      
  17  P 2 2 21   : -x,-y,z+1/2; -x,y,-z+1/2                                                                              
  18  P 21 21 2  : -x,-y,z; -x+1/2,y+1/2,-z                                                                              
  19  P 21 21 21 : -x+1/2,-y,z+1/2; -x,y+1/2,-z+1/2                                                                      
  20  C 2 2 21   : x+1/2,y+1/2,z; -x,-y,z+1/2; -x,y,-z+1/2                                                               
  21  C 2 2 2    : x+1/2,y+1/2,z; -x,-y,z; -x,y,-z                                                                       
  22  F 2 2 2    : x+1/2,y+1/2,z; x+1/2,y,z+1/2; -x,-y,z; -x,y,-z                                                        
  23  I 2 2 2    : x+1/2,y+1/2,z+1/2; -x,-y,z; -x,y,-z                                                                   
  24  I 21 21 21 : x+1/2,y+1/2,z+1/2; -x+1/2,-y,z+1/2; -x,y+1/2,-z+1/2                                                   
  25  P m m 2    : -x,-y,z; x,-y,z                                                                                       
  26  P m c 21   : -x,-y,z+1/2; x,-y,z+1/2                                                                               
  27  P c c 2    : -x,-y,z; x,-y,z+1/2                                                                                   
  28  P m a 2    : -x,-y,z; x+1/2,-y,z                                                                                   
  29  P c a 21   : -x,-y,z+1/2; x+1/2,-y,z                                                                               
  30  P n c 2    : -x,-y,z; x,-y+1/2,z+1/2                                                                               
  31  P m n 21   : -x+1/2,-y,z+1/2; x+1/2,-y,z+1/2                                                                       
  32  P b a 2    : -x,-y,z; x+1/2,-y+1/2,z                                                                               
  33  P n a 21   : -x,-y,z+1/2; x+1/2,-y+1/2,z                                                                           
  34  P n n 2    : -x,-y,z; x+1/2,-y+1/2,z+1/2                                                                           
  35  C m m 2    : x+1/2,y+1/2,z; -x,-y,z; x,-y,z                                                                        
  36  C m c 21   : x+1/2,y+1/2,z; -x,-y,z+1/2; x,-y,z+1/2                                                                
  37  C c c 2    : x+1/2,y+1/2,z; -x,-y,z; x,-y,z+1/2                                                                    
  38  A m m 2    : x,y+1/2,z+1/2; -x,-y,z; x,-y,z                                                                        
  39  A b m 2    : x,y+1/2,z+1/2; -x,-y,z; x,-y+1/2,z                                                                    
