name R  RGB(1) RGB(2) RGB(3) mass longname
H    0.37  255 255 255   1.01 Hydrogen
He   0.32  217 255 255   4.00 Helium
Li   0.90  204 128 255   6.94 Lithium
Be   0.50  194 255   0   9.01 Beryllium
B    0.32  255 181 181  10.81 Boron
C    0.77  144 144 144  12.01 Carbon
N    0.75   48  80 248  14.01 Nitrogen
O    1.26  255  13  13  16.00 Oxygen
F    1.18  144 224  80  19.00 Fluorine
Ne   0.38  179 227 245  20.18 Neon
Na   1.21  171  92 242  22.99 Sodium
Mg   0.86  138 255   0  24.31 Magnesium
Al   0.60  191 166 166  26.98 Aluminum
Si   1.11  240 200 160  28.09 Silicon
P    1.06  255 128   0  30.97 Phosphorus
S    1.84  255 255  48  32.07 Sulfur
Cl   1.67   31 240  31  35.45 Chlorine
Ar   0.71  128 209 227  39.95 Argon
K    1.52  143  64 212  39.10 Potassium
Ca   1.20   61 255   0  40.08 Calcium
Sc   0.95  230 230 230  44.96 Scandium
Ti   0.74  191 194 199  47.87 Titanium
V    0.81  166 166 171  50.94 Vanadium
Cr   0.75  138 153 199  52.00 Chromium
Mn   0.81  156 122 199  54.94 Manganese
Fe   0.75  224 102  51  55.85 Iron
Co   0.78  240 144 160  58.93 Cobalt
Ni   0.70   80 208  80  58.69 Nickel
Cu   0.70  200 128  51  63.55 Copper
Zn   0.88  125 128 176  65.41 Zinc
Ga   0.69  194 143 143  69.72 Gallium
Ge   1.22  102 143 143  72.64 Germanium
As   1.19  189 128 227  74.92 Arsenic
Se   1.98  255 161   0  78.96 Selenium
Br   1.95  166  41  41  79.90 Bromine
Kr   0.88   92 184 209  83.80 Krypton
Rb   1.70  112  46 176  85.47 Rubidium
Sr   1.35    0 255   0  87.62 Strontium
Y    1.09  148 255 255  88.91 Yttrium
Zr   0.86  148 224 224  91.22 Zirconium
Nb   0.82  115 194 201  92.91 Niobium
Mo   0.78   84 181 181  95.94 Molybdenum
Tc   0.72   59 158 158  98.00 Technetiuum
Ru   0.76   36 143 143 101.07 Ruthenium
Rh   0.74   10 125 140 102.91 Rhodium
Pd   0.90    0 105 133 106.42 Palladium
Ag   1.08  192 192 192 107.87 Silver
Cd   1.09  255 217 143 112.41 Cadmium
In   0.94  166 117 115 114.82 Indium
Sn   1.41  102 128 128 118.71 Tin
Sb   1.38  158  99 181 121.76 Antimony
Te   2.21  212 122   0 127.60 Tellurium
I    2.06  148   0 148 126.90 Iodine
Xe   1.08   66 158 176 131.29 Xenon
Cs   1.85   87  23 143 132.91 Caesium
Ba   1.52    0 201   0 137.33 Barium
La   1.40  112 212 255 138.91 Lanthanum
Ce   1.30  255 255 199 140.12 Cerium
Pr   1.20  217 255 199 140.91 Praseodymium
Nd   1.18  199 255 199 144.24 Neodymium
Pm   1.17  163 255 199 145.00 Promethium
Sm   1.15  143 255 199 150.36 Samarium
Eu   1.25   97 255 199 151.96 Europium
Gd   1.13   69 255 199 157.25 Gadolinium
Tb   1.12   48 255 199 158.93 Terbium
Dy   1.10   31 255 199 162.50 Dysprosium
Ho   1.10    0 255 156 164.93 Holmium
Er   1.08    0 230 117 167.26 Erbium
Tm   1.07    0 212  82 168.93 Thulium
Yb   1.15    0 191  56 173.04 Ytterbium
Lu   1.05    0 171  36 174.97 Lutetium
Hf   0.85   77 194 255 178.49 Hafnium
Ta   0.83   77 166 255 180.95 Tantalum
W    0.76   33 148 214 183.84 Tungsten
Re   0.72   38 125 171 186.21 Rhenium
Os   0.70   38 102 150 190.23 Osmium
Ir   0.76   23  84 135 192.22 Iridium
Pt   0.82  208 208 224 195.08 Platinum
Au   1.00  255 209  35 196.97 Gold
Hg   1.16  184 184 208 200.59 Mercury
Tl   1.48  166  84  77 204.38 Thallium
Pb   1.33   87  89  97 207.20 Lead
Bi   1.46  158  79 181 208.98 Bismuth
Po   1.08  171  92   0 209.00 Polonium
At   0.76  117  79  69 210.00 Astatine
Rn   1.20   66 130 150 222.00 Radon
Fr   1.00  255   0   0 223.00 Francium
Ra   1.00  255   0   0 226.00 Radium
Ac   1.00  255   0   0 227.00 Actinium
Th   1.00  255   0   0 232.04 Thorium
Pa   1.00  255   0   0 231.04 Protactinium
U    1.00  255   0   0 238.03 Uranium
Np   1.00  255   0   0 237.00 Neptunium
Pu   1.00  255   0   0 244.00 Plutonium
Am   1.00  255   0   0 243.00 Americium
Cm   1.00  255   0   0 247.00 Curium
Bk   1.00  255   0   0 247.00 Berkelium
Cf   1.00  255   0   0 251.00 Californium
Es   1.00  255   0   0 252.00 Einsteinium
Fm   1.00  255   0   0 257.00 Fermium
Md   1.00  255   0   0 258.00 Mendelevium
No   1.00  255   0   0 259.00 Nobelium
Lr   1.00  255   0   0 262.00 Lawrencium
Rf   1.00  255   0   0 261.00 Rutherfordium
Db   1.00  255   0   0 262.00 Dubnium
Sg   1.00  255   0   0 266.00 Seaborgium
Bh   1.00  255   0   0 264.00 Bohrium
Hs   1.00  255   0   0 277.00 Hassium
Mt   1.00  255   0   0 268.00 Meitnerium
Ds   1.00  255   0   0 281.00 Darmstadtium
Rg   1.00  255   0   0 280.00 Roentgenium
Cn   1.00  255   0   0 285.00 Copernicium
Un   1.00  255   0   0   0.00 Unobtanium
