# Neutron scattering cross section data of natural elements and isotopes
# 
# Sources:
#    http://www.sisweb.com/referenc/source/exactmas.htm
# Z            charge number
# A            mass number, -1 for natural mixture of isotopes
# name         short atom name
# P            natural abundance, sum(P)=1
# bc           bound coherent scattering length (fm)
# mass         mass in g/mol
# sigma_coh    coherent cross section (barn)
# sigma_inc    incoherent cross section (barn)
# sigma_scatt  total cross section (barn)
# sigma_abs    thermal absorption cross section for thermal neutrons (barn)
#
  Z   A      P name     mass       bc  sigma_coh    sigma_inc sigma_scatt     sigma_abs
  1  -1 -1.000    H   1.0080  -3.7390     1.7568    80.260000      82.020      0.332600
  1   1  1.000    H   1.0078  -3.7406     1.7583    80.270000      82.030      0.332600
  1   2  0.000    H   2.0141   6.6710     5.5920     2.050000       7.640      0.000519
  1   3  0.000    H   3.0000   4.7920     2.8900     0.140000       3.030      0.000000
  2  -1 -1.000   He   4.0026   3.2600     1.3400     0.000000       1.340      0.007470
  2   3  0.000   He   3.0160   5.7400     4.4200     1.600000       6.000   5333.000000
  2   4  1.000   He   4.0026   3.2600     1.3400     0.000000       1.340      0.000000
  3  -1 -1.000   Li   6.9417  -1.9000     0.4540     0.920000       1.370     70.500000
  3   6  0.075   Li   6.0151   2.0000     0.5100     0.460000       0.970    940.000000
  3   7  0.925   Li   7.0160  -2.2200     0.6190     0.780000       1.400      0.045400
  4  -1  1.000   Be   9.0122   7.7900     7.6300     0.001800       7.630      0.007600
  5  -1 -1.000    B  10.8120   5.3000     3.5400     1.700000       5.240    767.000000
  5  10  0.200    B  10.0129  -0.1000     0.1440     3.000000       3.100   3835.000000
  5  11  0.800    B  11.0093   6.6500     5.5600     0.210000       5.770      0.005500
  6  -1 -1.000    C  12.0110   6.6460     5.5510     0.001000       5.551      0.003500
  6  12  0.989    C  12.0000   6.6511     5.5590     0.000000       5.559      0.003530
  6  13  0.011    C  13.0034   6.1900     4.8100     0.034000       4.840      0.001370
  7  -1 -1.000    N  14.0068   9.3600    11.0100     0.500000      11.510      1.900000
  7  14  0.996    N  14.0031   9.3700    11.0300     0.500000      11.530      1.910000
  7  15  0.004    N  15.0001   6.4400     5.2100     0.000050       5.210      0.000024
  8  -1 -1.000    O  15.9993   5.8030     4.2320     0.000800       4.232      0.000190
  8  16  0.998    O  15.9949   5.8030     4.2320     0.000000       4.232      0.000100
  8  17  0.000    O  16.9991   5.7800     4.2000     0.004000       4.200      0.236000
  8  18  0.002    O  17.9992   5.8400     4.2900     0.000000       4.290      0.000160
  9  -1  1.000    F  18.9984   5.6540     4.0170     0.000800       4.018      0.009600
 10  -1 -1.000   Ne  20.1788   4.5660     2.6200     0.008000       2.628      0.039000
 10  20  0.905   Ne  19.9924   4.6310     2.6950     0.000000       2.695      0.036000
 10  21  0.003   Ne  20.9938   6.6600     5.6000     0.050000       5.700      0.670000
