# This file contains the magnetic form factor data for neutron scattering.         
# The form factor is calculated according to the formula:                          
#                                                                                  
# <j0(Qs)> = c + [SUM a_i*EXP(-b_i*(Qs^2)) ]				                   
#                 i=1,4							                           
#                                                                                  
# where Qs = Q/(4*pi) and a_i, b_i, ... are the coefficients stored below.          
# The (a_4,b_4) coefficients can be zero.                                   
#                                                                                  
# The source for the form factor data are:                                         
#  [1] A.-J. Dianoux and G. Lander, Neutron Data Booklet (2003).                   
#  [2] K. Kobayashi, T. Nagao, and M. Ito, Acta Crystallogr. A. 67, 473 (2011).    
#                                                                                  
label        spin   charge     atom       a(1)       b(1)       a(2)       b(2)       a(3)       b(3)       a(4)       b(4)          c
one           0.0        0      one   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   1.000000
zero          0.0        0     zero   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000
MSC0          0.0        0       Sc   0.251200  90.029602   0.329000  39.402100   0.423500  14.322200   0.000000   0.000000  -0.004300
MSC1          0.0        1       Sc   0.488900  51.160301   0.520300  14.076400  -0.028600   0.179200   0.000000   0.000000   0.018500
MSC2          0.0        2       Sc   0.504800  31.403500   0.518600  10.989700  -0.024100   1.183100   0.000000   0.000000   0.000000
MTI0          2.0        0       Ti   0.465700  33.589802   0.549000   9.879100  -0.029100   0.323200   0.000000   0.000000   0.012300
MTI1          1.5        1       Ti   0.509300  36.703300   0.503200  10.371300  -0.026300   0.310600   0.000000   0.000000   0.011600
MTI2          1.0        2       Ti   0.509100  24.976299   0.516200   8.756900  -0.028100   0.916000   0.000000   0.000000   0.001500
MTI3          0.5        3       Ti   0.357100  22.841299   0.668800   8.930600  -0.035400   0.483300   0.000000   0.000000   0.009900
MV0           2.5        0        V   0.408600  28.810900   0.607700   8.543700  -0.029500   0.276800   0.000000   0.000000   0.012300
MV1           2.0        1        V   0.444400  32.647900   0.568300   9.097100  -0.228500   0.021800   0.000000   0.000000   0.215000
MV2           1.5        2        V   0.408500  23.852600   0.609100   8.245600  -0.167600   0.041500   0.000000   0.000000   0.149600
MV3           1.0        3        V   0.359800  19.336399   0.663200   7.617200  -0.306400   0.029600   0.000000   0.000000   0.283500
MV4           0.5        4        V   0.310600  16.816000   0.719800   7.048700  -0.052100   0.302000   0.000000   0.000000   0.022100
MCR0          2.0        0       Cr   0.113500  45.199001   0.348100  19.493099   0.547700   7.354200   0.000000   0.000000  -0.009200
MCR1          2.5        1       Cr  -0.097700   0.047000   0.454400  26.005400   0.557900   7.489200   0.000000   0.000000   0.083100
MCR2          2.0        2       Cr   1.202400  -0.005500   0.415800  20.547501   0.603200   6.956000   0.000000   0.000000  -1.221800
MCR3          1.5        3       Cr  -0.309400   0.027400   0.368000  17.035500   0.655900   6.523600   0.000000   0.000000   0.285600
MCR4          1.0        4       Cr  -0.232000   0.043300   0.310100  14.951800   0.718200   6.172600   0.000000   0.000000   0.204200
MMN0          1.5        0       Mn   0.243800  24.962900   0.147200  15.672800   0.618900   6.540300   0.000000   0.000000  -0.010500
MMN1          2.0        1       Mn  -0.013800   0.421300   0.423100  24.667999   0.590500   6.654500   0.000000   0.000000  -0.001000
MMN2          2.5        2       Mn   0.422000  17.684000   0.594800   6.005000   0.004300  -0.609000   0.000000   0.000000  -0.021900
MMN3          2.0        3       Mn   0.419800  14.282900   0.605400   5.468900   0.924100  -0.008800   0.000000   0.000000  -0.949800
MMN4          1.5        4       Mn   0.376000  12.566100   0.660200   5.132900  -0.037200   0.563000   0.000000   0.000000   0.001100
MFE0          1.0        0       Fe   0.070600  35.008499   0.358900  15.358300   0.581900   5.560600   0.000000   0.000000  -0.011400
MFE1          1.5        1       Fe   0.125100  34.963299   0.362900  15.514400   0.522300   5.591400   0.000000   0.000000  -0.010500
MFE2          2.0        2       Fe   0.026300  34.959702   0.366800  15.943500   0.618800   5.593500   0.000000   0.000000  -0.011900
MFE3          2.5        3       Fe   0.397200  13.244200   0.629500   4.903400  -0.031400   0.349600   0.000000   0.000000   0.004400
MFE4          2.0        4       Fe   0.378200  11.380000   0.655600   4.592000  -0.034600   0.483300   0.000000   0.000000   0.000500
MCO0          0.5        0       Co   0.413900  16.161600   0.601300   4.780500  -0.151800   0.021000   0.000000   0.000000   0.134500
MCO1          1.0        1       Co   0.099000  33.125198   0.364500  15.176800   0.547000   5.008100   0.000000   0.000000  -0.010900
MCO2          1.5        2       Co   0.433200  14.355300   0.585700   4.607700  -0.038200   0.133800   0.000000   0.000000   0.017900
MCO3          2.0        3       Co   0.390200  12.507800   0.632400   4.457400  -0.150000   0.034300   0.000000   0.000000   0.127200
MCO4          2.5        4       Co   0.351500  10.778500   0.677800   4.234300  -0.038900   0.240900   0.000000   0.000000   0.009800
MNI0          0.0        0       Ni  -0.017200  35.739201   0.317400  14.268900   0.713600   4.566100   0.000000   0.000000  -0.014300
MNI1          0.5        1       Ni   0.070500  35.856098   0.398400  13.804200   0.542700   4.396500   0.000000   0.000000  -0.011800
MNI2          1.0        2       Ni   0.016300  35.882599   0.391600  13.223300   0.605200   4.338800   0.000000   0.000000  -0.013300
MNI3          1.5        3       Ni  -0.013400  35.867699   0.267800  12.332600   0.761400   4.236900   0.000000   0.000000  -0.016200
MNI4          2.0        4       Ni  -0.009000  35.861401   0.277600  11.790400   0.747400   4.201100   0.000000   0.000000  -0.016300
MCU0          0.5        0       Cu   0.090900  34.983799   0.408800  11.443200   0.512800   3.824800   0.000000   0.000000  -0.012400
MCU1          0.0        1       Cu   0.074900  34.965599   0.414700  11.764200   0.523800   3.849700   0.000000   0.000000  -0.012700
MCU2          0.5        2       Cu   0.023200  34.968601   0.402300  11.564000   0.588200   3.842800   0.000000   0.000000  -0.013700
MCU3          1.0        3       Cu   0.003100  34.907398   0.358200  10.913800   0.653100   3.827900   0.000000   0.000000  -0.014700
MCU4          1.5        4       Cu  -0.013200  30.681700   0.280100  11.162600   0.749000   3.817200   0.000000   0.000000  -0.016500
MY0           0.0        0        Y   0.591500  67.608101   1.512300  17.900400  -1.113000  14.135900   0.000000   0.000000   0.008000
MZR0          0.0        0       Zr   0.410600  59.996101   1.054300  18.647600  -0.475100  10.540000   0.000000   0.000000   0.010600
MZR1          0.0        1       Zr   0.453200  59.594799   0.783400  21.435699  -0.245100   9.036000   0.000000   0.000000   0.009800
MNB0          0.0        0       Nb   0.394600  49.229698   1.319700  14.821600  -0.726900   9.615600   0.000000   0.000000   0.012900
MNB1          0.0        1       Nb   0.457200  49.918201   1.027400  15.725600  -0.496200   9.157300   0.000000   0.000000   0.011800
MMO0          0.0        0       Mo   0.180600  49.056801   1.230600  14.785900  -0.426800   6.986600   0.000000   0.000000   0.017100
MMO1          0.0        1       Mo   0.350000  48.035400   1.030500  15.060400  -0.392900   7.479000   0.000000   0.000000   0.013900
MTC0          0.0        0       Tc   0.129800  49.661098   1.165600  14.130700  -0.313400   5.512900   0.000000   0.000000   0.019500
MTC1          0.0        1       Tc   0.267400  48.956600   0.956900  15.141300  -0.238700   5.457800   0.000000   0.000000   0.016000
MRU0          0.0        0       Ru   0.106900  49.423801   1.191200  12.741700  -0.317600   4.912500   0.000000   0.000000   0.021300
MRU1          0.0        1       Ru   0.441000  33.308601   1.477500   9.553100  -0.936100   6.722000   0.000000   0.000000   0.017600
MRH0          0.0        0       Rh   0.097600  49.882500   1.160100  11.830700  -0.278900   4.126600   0.000000   0.000000   0.023400
MRH1          0.0        1       Rh   0.334200  29.756399   1.220900   9.438400  -0.575500   5.332000   0.000000   0.000000   0.021000
MPD0          0.0        0       Pd   0.200300  29.363300   1.144600   9.599300  -0.368900   4.042300   0.000000   0.000000   0.025100
MPD1          0.0        1       Pd   0.503300  24.503700   1.998200   6.908200  -1.524000   5.513300   0.000000   0.000000   0.021300
MCE2          0.0        2       Ce   0.295300  17.684601   0.292300   6.732900   0.431300   5.382700   0.000000   0.000000  -0.019400
MND2          0.0        2       Nd   0.164500  25.045300   0.252200  11.978200   0.601200   4.946100   0.000000   0.000000  -0.018000
MND3          0.0        3       Nd   0.054000  25.029301   0.310100  12.102000   0.657500   4.722300   0.000000   0.000000  -0.021600
MSM2          0.0        2       Sm   0.090900  25.203199   0.303700  11.856200   0.625000   4.236600   0.000000   0.000000  -0.020000
MSM3          0.0        3       Sm   0.028800  25.206800   0.297300  11.831100   0.695400   4.211700   0.000000   0.000000  -0.021300
MEU2          0.0        2       Eu   0.075500  25.296000   0.300100  11.599300   0.643800   4.025200   0.000000   0.000000  -0.019600
MEU3          0.0        3       Eu   0.020400  25.307800   0.301000  11.474400   0.700500   3.942000   0.000000   0.000000  -0.022000
MGD2          0.0        2       Gd   0.063600  25.382299   0.303300  11.212500   0.652800   3.787700   0.000000   0.000000  -0.019900
MGD3          0.0        3       Gd   0.018600  25.386700   0.289500  11.142100   0.713500   3.752000   0.000000   0.000000  -0.021700
MTB2          0.0        2       Tb   0.054700  25.508600   0.317100  10.591100   0.649000   3.517100   0.000000   0.000000  -0.021200
MTB3          0.0        3       Tb   0.017700  25.509501   0.292100  10.576900   0.713300   3.512200   0.000000   0.000000  -0.023100
MDY2          0.0        2       Dy   0.130800  18.315500   0.311800   7.664500   0.579500   3.146900   0.000000   0.000000  -0.022600
MDY3          0.0        3       Dy   0.115700  15.073200   0.327000   6.799100   0.582100   3.020200   0.000000   0.000000  -0.024900
MHO2          0.0        2       Ho   0.099500  18.176100   0.330500   7.855600   0.592100   2.979900   0.000000   0.000000  -0.023000
MHO3          0.0        3       Ho   0.056600  18.317600   0.336500   7.688000   0.631700   2.942700   0.000000   0.000000  -0.024800
MER2          0.0        2       Er   0.112200  18.122299   0.346200   6.910600   0.564900   2.761400   0.000000   0.000000  -0.023500
MER3          0.0        3       Er   0.058600  17.980200   0.354000   7.096400   0.612600   2.748200   0.000000   0.000000  -0.025100
MTM2          0.0        2       Tm   0.098300  18.323601   0.338000   6.917800   0.587500   2.662200   0.000000   0.000000  -0.024100
MTM3          0.0        3       Tm   0.058100  15.092200   0.278700   7.801500   0.685400   2.793100   0.000000   0.000000  -0.022400
MYB2          0.0        2       Yb   0.085500  18.512300   0.294300   7.373400   0.641200   2.677700   0.000000   0.000000  -0.021300
