        QH        QK        QL    ENlim1    ENlim2        I1       EN1    sigma1        I2       EN2    sigma2
         0    1.0000    2.1000    2.0000   40.0000  185.5220   27.9475    0.1788         0         0         0
         0    1.0000    2.2000    2.0000   40.0000  237.3841   27.4221    0.3170         0         0         0
         0    1.0000    2.3000    2.0000   40.0000  243.4974   26.2392    0.1756         0         0         0
         0    1.0000    2.4000    2.0000   40.0000  271.7875   24.8575    0.1297         0         0         0
         0    1.0000    2.5000    2.0000   40.0000  292.3563   22.7275    0.1265         0         0         0
         0    1.0000    2.6000    2.0000   40.0000  350.5324   20.2714    0.1148         0         0         0
         0    1.0000    2.7000    2.0000   40.0000  380.7541   17.4248    0.1450         0         0         0
         0    1.0000    2.8000    2.0000   40.0000  446.7639   13.8905    0.1390         0         0         0
         0    1.0000    2.9000    2.0000   40.0000   86.3028    5.6092    0.5161  540.3167   10.5548    0.2542
         0    1.0000    3.0000    2.0000   40.0000  538.0782    3.9185    0.1739  577.6867    8.9039    0.4067
         0    1.1000    3.1000    2.0000   40.0000  433.0529   12.9913    0.1046         0         0         0
         0    1.2000    3.2000    2.0000   40.0000  243.7242   20.7170    0.1041         0         0         0
         0    1.3000    3.3000    2.0000   40.0000  172.8896   27.2992    0.1228         0         0         0
         0    1.4000    3.4000    2.0000   40.0000  166.9054   31.7067    0.0933         0         0         0
         0    1.5000    3.5000    2.0000   40.0000   20.7324   36.6609    0.4899         0         0         0
